VN	42.114.29.71	42.114.29.71	000	0
VN	1.54.19.6	1.54.19.6	000	0
VN	171.247.175.66	VPN_FAIL	0
VN	58.186.112.162	VPN_FAIL	0
TH	27.130.8.249	27.130.8.249	406	0
TH	171.101.231.39	171.101.231.39	406	0
TH	27.130.51.130	27.130.51.130	406	0
JP	121.103.81.209	VPN_FAIL	0
JP	219.100.37.81	219.100.37.238	406	0
JP	112.69.14.68	112.69.14.68	406	0
JP	118.241.68.236	VPN_FAIL	0
KR	1.232.152.53	1.232.152.53	406	0
KR	211.230.164.108	211.48.247.61	406	0
KR	125.128.18.93	125.128.18.93	406	0
KR	14.48.19.224	14.48.19.56	406	0
